Country,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,1,127050,126767,597237,411683,4.7,138,1.27E+11,93,19.34332,3.99E+12,4.56E+12,5.00E+12,5.46E+12,6.04E+12,6.61E+12,7.12E+12,7.67E+12,8.23E+12,8.80E+12
United States,2,96661,94747,792274,265436,8.2,230,90838000000,286,11.57098,1.48E+13,1.51E+13,1.50E+13,1.46E+13,1.50E+13,1.52E+13,1.55E+13,1.58E+13,1.62E+13,1.65E+13
Japan,3,30504,30287,223024,61554,7.31,134,18984000000,149,10.23282,5.50E+12,5.62E+12,5.56E+12,5.25E+12,5.50E+12,5.47E+12,5.57E+12,5.64E+12,5.64E+12,5.67E+12
United Kingdom,4,20944,20357,206091,37874,9.84,139,7920000000,124,10.60047,2.42E+12,2.48E+12,2.47E+12,2.37E+12,2.40E+12,2.45E+12,2.48E+12,2.53E+12,2.61E+12,2.67E+12
Russian Federation,5,18534,18301,34266,12422,1.85,57,30709000000,214,17.28868,1.39E+12,1.50E+12,1.58E+12,1.46E+12,1.52E+12,1.59E+12,1.65E+12,1.67E+12,1.68E+12,1.62E+12
Canada,6,17899,17620,215003,40930,12.01,149,10431000000,296,61.94543,1.56E+12,1.60E+12,1.61E+12,1.57E+12,1.61E+12,1.66E+12,1.69E+12,1.73E+12,1.77E+12,1.79E+12
Germany,7,17027,16831,140566,27426,8.26,126,13261000000,165,17.90153,3.33E+12,3.44E+12,3.48E+12,3.28E+12,3.42E+12,3.54E+12,3.56E+12,3.57E+12,3.62E+12,3.69E+12
India,8,15005,14841,128763,37209,8.58,115,33195000000,26,14.96908,1.27E+12,1.37E+12,1.43E+12,1.55E+12,1.71E+12,1.82E+12,1.92E+12,2.05E+12,2.20E+12,2.37E+12
France,9,13153,12973,130632,28601,9.93,114,10597000000,166,17.02028,2.61E+12,2.67E+12,2.67E+12,2.60E+12,2.65E+12,2.70E+12,2.71E+12,2.72E+12,2.73E+12,2.76E+12
South Korea,10,11983,11923,114675,22595,9.57,104,11007000000,221,2.279353,9.41E+11,9.92E+11,1.02E+12,1.03E+12,1.09E+12,1.13E+12,1.16E+12,1.19E+12,1.23E+12,1.27E+12
Italy,11,10964,10794,111850,26661,10.2,106,6530000000,109,33.66723,2.20E+12,2.23E+12,2.21E+12,2.09E+12,2.13E+12,2.14E+12,2.08E+12,2.04E+12,2.03E+12,2.05E+12
Spain,12,9428,9330,123336,23964,13.08,115,4923000000,106,37.96859,1.41E+12,1.47E+12,1.48E+12,1.43E+12,1.43E+12,1.42E+12,1.38E+12,1.36E+12,1.38E+12,1.42E+12
Iran,13,8896,8819,57470,19125,6.46,72,9172000000,119,5.707721,3.90E+11,4.25E+11,4.29E+11,4.39E+11,4.68E+11,4.85E+11,4.53E+11,4.45E+11,4.64E+11,
Australia,14,8831,8725,90765,15606,10.28,107,5386000000,231,11.81081,1.02E+12,1.06E+12,1.10E+12,1.12E+12,1.14E+12,1.17E+12,1.21E+12,1.24E+12,1.27E+12,1.30E+12
Brazil,15,8668,8596,60702,14396,7,86,12149000000,59,69.64803,1.85E+12,1.96E+12,2.06E+12,2.05E+12,2.21E+12,2.30E+12,2.34E+12,2.41E+12,2.41E+12,2.32E+12
