Date,O3 ppb,CO ppm,NO2 ppb,SO2 ppb,PM 10 ug/m3,PM 2.5 ug/m3
1398/06/01,0.34,2,0.043,4,42,13
1398/06/02,0.32,2,0.053,4,43,16
1398/06/03,0.39,2,0.053,5,52,17
1398/06/04,0.29,2,0.067,5,52,18
1398/06/05,0.24,2,0.063,6,53,18
1398/06/06,0.28,2,0.053,5,46,17
1398/06/07,0.36,2,0.054,4,54,17
1398/06/08,0.33,2,0.052,4,51,18
1398/06/09,0.3,2,0.052,4,46,16
1398/06/10,0.27,2,0.046,4,49,21
1398/06/11,0.27,2,0.061,4,55,24
1398/06/12,0.38,2,0.048,6,63,23
1398/06/13,0.26,2,0.056,4,63,22
1398/06/14,0.29,2,0.053,4,46,17
1398/06/15,0.3,2,0.045,4,45,16
1398/06/16,0.3,2,0.046,4,45,17
1398/06/17,0.3,2,0.055,4,61,18
1398/06/18,0.31,2,0.039,4,61,16
1398/06/19,0.24,1,0.032,3,38,9
1398/06/20,0.22,2,0.041,4,43,13
1398/06/21,0.24,2,0.04,5,46,20
1398/06/22,0.23,1,0.038,4,40,17
1398/06/23,0.23,2,0.049,4,47,14
1398/06/24,0.26,2,0.051,4,50,16
1398/06/25,0.3,2,0.053,4,56,18
1398/06/26,0.26,2,0.053,4,46,15
1398/06/27,0.21,2,0.05,4,56,20
1398/06/28,0.27,2,0.052,5,55,20
1398/06/29,0.32,2,0.053,5,48,20
1398/06/30,0.23,2,0.049,4,55,19
1398/06/31,0.16,2,0.049,4,71,29
1398/07/01,0.22,2,0.053,4,85,27
1398/07/02,0.15,2,0.054,5,66,18
1398/07/03,0.1,2,0.047,3,42,16
1398/07/04,0.19,2,0.048,4,52,14
1398/07/05,0.23,2,0.052,4,62,22
1398/07/06,0.16,2,0.056,3,61,16
1398/07/07,0.16,2,0.066,5,80,27
1398/07/08,0.19,2,0.049,4,53,17
1398/07/09,0.2,2,0.06,5,58,20
1398/07/10,0.26,2,0.058,5,59,20
1398/07/11,0.2,2,0.069,5,55,25
1398/07/12,0.26,2,0.059,4,54,33
1398/07/13,0.17,2,0.057,4,48,20
1398/07/14,0.13,2,0.065,5,54,18
1398/07/15,0.17,2,0.057,3,59,20
1398/07/16,0.15,2,0.056,5,61,21
1398/07/17,0.17,2,0.051,4,51,18
1398/07/18,0.2,2,0.049,4,53,18
1398/07/19,0.2,2,0.048,4,44,15
1398/07/20,0.9,2,0.052,4,54,21
